page_number,original_length,failure_message,original_preview,translation_time
28,724,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 28 -页 
 
- 28 - 
 提示信息：  
① 相关信号无效 /高优先级功能激活 /driver no present 。 
② 制动盘温度过高 —300℃。  
③ 车速过高 —50kph  
3.4.3.16.  动力驻坡  
1） 概述  
全地形动力驻坡辅助功能是辅助驾驶员在坡道行驶过程中防止驾驶员回撤油门踏板导致车辆溜",5.66
29,956,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 29 -页 
 
- 29 - 
 D. 车辆驻停后， 当某个电机由于潜能扭矩被限制（如高温、前差速锁锁止打方向等） ，根据坡度计算分配
好的驱动力矩需要按照一定梯度卸载到潜能扭矩的 min值，同时需要请求相同的液压制动力矩来补充卸载的电
机力矩  
E.动力驻坡功能开启，用户踩下刹车踏板拉起 EPB, 需提供 EPB驻车的 s力矩信号",4.35
34,949,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 34 -页 
 
- 34 - 
 刹不住车的现象；车辆在 ABS激活过程中能有效操作转
向。  
1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择 山地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 在不同度数坡道车辆
车头朝上半坡起步  1、扭矩输出符合预期，无中断车",5.42
35,951,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 35 -页 
 
- 35 - 
 超过附着极限出现滑转，保证非打滑侧车轮扭矩 输出控制
在最佳滑移率范围。控制介入、退出过程扭矩输出连续平
顺，车辆保持连续稳速爬行动力。  
6、车辆在 60%以下坡度坡道无横摆，在 60%以上坡度坡道
横摆角度小 且易于通过方向修正控制稳定；  
1、车辆 Ready； 
2、档位处于 D挡；  
",5.21
36,1186,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 36 -页 
 
- 36 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择沙地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 平地深雪 /沙地路面，车辆
由静止状态轻踩油门起步  1、起步扭矩输出连续平顺线性，车轮无明显打滑空转，
控制介入退出平顺自然，车辆不会",4.25
37,1067,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 37 -页 
 
- 37 - 
 加速的意图， 扭矩输出连续平顺线性， 若车轮出现打
滑后能被快速控制到最佳滑移率范围， 车轮不发生明
显打滑空转， 能及时建立连续平顺线性的加速感， 控
制介入退出平 顺自然， 加速过程中车辆无窜动、 不耸
动，整车姿态无较大幅度俯仰变化。  
1、车辆 Ready； 
2、档位处于 D挡；  
3、",6.54
38,1043,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 38 -页 
 
- 38 - 
 和转向预期； 对不足转向和过度转向的控制介入平顺， 保
证良好的方向循迹性， 控制介入不能使车速发生明显的降
速变化，应尽量保持车速稳定符合驾驶意图。  
1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择沙地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、E",4.73
39,972,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 39 -页 
 
- 39 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择沙地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 松软沙地 /深雪陡坡道，车
辆全油门高速爬坡行驶  1、起步扭矩输出连续平顺线性，控制全油门扭矩输出变
化梯度渐进柔和， 若车轮出现打滑",6.56
42,1049,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 42 -页 
 
- 42 - 
 后轴高附侧车轮处于最佳滑移率范围驱动车辆缓慢突破
阻力平稳驶出滑轮组， 扭矩输出过程连续无忽快忽慢变化
波动。  
 
3) 雪地模式  
前提条件  测试工况  目标要求  
1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择雪地模式；  
4、差速锁处于解锁状态；  
5、子系",10.03
43,1107,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 43 -页 
 
- 43 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择雪地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 雪地 /冰面以一定的车速绕
圆环行驶， 车速： 40-100k ph 1、可通过油门轻松维持绕圆车速，扭矩响应连续平顺，
加速时响应及时",4.7
44,983,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 44 -页 
 
- 44 - 
 顺， 保证良好的方向循迹性， 控制介入不能使车速发生明
显的降速变化，应尽量保持车速稳定符合驾驶意图。  
5、制动转向行驶过程中，车辆能保持良好的方向循迹
性，不发生明显的推头和严重的甩尾，横向稳定性好，
转向过程车辆姿态侧倾变化幅度小且动作收敛可控。  
1、车辆 Ready； 
2、档位处于 D",5.36
45,1060,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 45 -页 
 
- 45 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择雪地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 对开路面直线加速行驶，
油门开度： 10%、30%、
50%、70%、100%  1、全油门起步，全油门加速。起步扭矩输出连续平顺线
性",6.73
46,1006,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 46 -页 
 
- 46 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择雪地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 对开坡以一定的车速匀速
爬坡，坡度： 15%、20%、
30% 1、对开坡起步扭矩输出连续平顺线性，控制油门扭矩输
出变化梯度渐进柔和，",5.44
48,885,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 48 -页 
 
- 48 - 
 围驱动车辆缓慢突破阻力平稳驶出滑轮组，扭矩输出过
程连续无忽快忽慢变化波动。  
6、单前轴接地滑轮组，从零油门逐渐加深油门开度。 后
轴低附轮不能长时间滑转，更不能出现飞转；控制介入
将低附后轴扭矩快速向前轴转移分配，使得前轴接地高
附车轮不超过附着极限出现滑转，并处于最佳滑移率范
围驱动车辆缓慢突",5.1
49,1163,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 49 -页 
 
- 49 - 
 3、ATS模式选择泥地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON； 50%、70%、100%  移率范围， 车轮不发生明显打滑空转， 控制介入退出平顺
自然， 车辆不会发生跑偏或大幅度横向摆动； 继续加深油
门能获得连续平顺线性的加速感；  
2、整个起步",5.25
50,1027,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 50 -页 
 
- 50 - 
 3、ATS模式选择泥地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 制动踏板开度： 20%、50%、
70%、100%（全力制动和缓
慢制动）  顺， 保证良好的方向循迹性， 控制介入不能使车速发生明
显的降速变化，应尽量保持车速稳定符合驾驶意图。  
2",3.31
51,712,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 51 -页 
 
- 51 - 
 快速向前轴转移分配，使得前轴高附车轮不超过附着极
限出现滑转，高附车轮处于最佳滑移率范围驱动车辆缓
慢突破阻力平稳驶出滑轮组，扭矩输出过程连续无忽快
忽慢变化波 动。  
4、单后轮接地滑轮组，从零油门逐渐加深油门开度。低
附后轮不能长时间滑转，更不能出现飞转；控制介入将
低附后轮快速控制与高附轮同转",5454.21
54,951,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 54 -页 
 
- 54 - 
 4、制动过程刹车无抖动现象，车辆姿态不发生过度点头
现象。  
1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式选择泥地模式；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 泥地工况，车辆陷入泥地
中，进行自行脱困  从零油门逐渐加大油门开度， ",3.63
56,891,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 56 -页 
 
- 56 - 
 围驱动车辆缓慢突破阻力平稳驶出滑轮组，扭矩输出过
程连续无忽快忽慢变化波动。  
6、单前轴接地滑轮组，从零油门逐渐加深油门开度。后
轴低附轮不能长时间滑转，更不能出现飞转；控制介入
将低附后轴扭矩快速向前轴转移分配，使得前轴接地高
附车轮不超过附着极限出现滑转，并处于最佳滑移率范
围驱动车辆缓慢突破",3.74
58,1123,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 58 -页 
 
- 58 - 
 山地模式 VDC控制进入门限极高， VDC极不易被激活。或在 山地模式关闭 VDC控制。  
e.涉水模式：  
涉水模式 VDC控制既要保持车辆不出现明显的 US和OS；也要要保证不至于车速快速下降，输出扭矩能够克服
变化的路面激励，保持车辆稳速行驶。  
f.雪地模式：  
雪地模式 VDC控制需",5.26
59,1243,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 59 -页 
 
- 59 - 
 4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 
7、HDC状态为 On not active braking  100%  3、从坡道到平地过程车速过渡平顺，车辆无明显顿挫；  
4、 阶梯坡类型地形， HDC从active到standby，从 standby
到ac",5.76
60,1257,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 60 -页 
 
- 60 - 
 1、车辆 Ready； 
2、档位处于 D挡；  
3、ATS模式之一；  
4、子系统无故障；  
5、ESC状态为 ON; 
6、A VH状态为 standby  1、 车辆处于坡道工况 （坡
度值分别为 15%、20%、
30%、40%、50%、60%、
70%、100%） ，车头朝上  
2、",4.88
61,805,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 61 -页 
 
- 61 - 
 4、子系统无故障；  
5、ESC状态为 ON; 
6、A VH状态为 Active  
1、车辆 Ready； 
2、档位处于 R挡；  
3、ATS模式之一；  
4、子系统无故障；  
5、ESC状态为 ON; 
6、A VH状态为 Standby  1、车辆处于平路或坡道
工况  
2、 车辆",4.92
63,941,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 63 -页 
 
- 63 - 
 D挡，平路工况在不同的 ATS越野模
式下以最低目标车速行驶， 踩下油门踏
板加速至 30kph快速松开  车辆利用自身阻力或地形特点（沙地、泥地）平稳滑行减速到最低工作车速后
扭矩控制平稳介入  
D挡，平路工况在不同的 ATS越野模
式下以最高目标车速行驶， 踩下制动踏
板使车辆减速到 10kph",6.29
64,1017,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 64 -页 
 
- 64 - 
 作车速  后蠕行重新进入激活状态；  
③雪地、涉水模式：当车速超过 20kph，蠕行进入待命状态，车速低于 20kph
后蠕行重新进 入激活状态；  
D挡，平路工况在不同的 ATS越野模
式下以最低目标车速行驶绕圆行驶， 行
驶过程中逐渐增加目标车速到最高目
标车速为止  车辆行驶平稳，实际车速无",6.05
65,1111,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 65 -页 
 
- 65 - 
 c.蠕行功能开启以中高速行驶（ 20-30kph） ，连续按下 set-降低目标车速， 山地、涉水、雪地模式下减速要缓，制
动压力需要小且稳定保持，整车无顿挫感；泥泞、沙地模式下减速利用整车自身阻力和地形阻力减速，如有制动
压力介入需要保证车辆无顿挫（下一时刻的减速度不能大于上一时刻的 20%）。 
",8.1
66,888,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 66 -页 
 
- 66 - 
 3、ATS模式之一；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 
7、蠕行 Creeping 状态为 active  3、从坡顶平台到坡道、从坡道到平地等坡度较大变换过
程车速过渡平顺，控制平稳，无波动，无耸动；  
1、车辆 Ready； 
2、档位处于 D",5.81
67,710,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 67 -页 
 
- 67 - 
 3、ATS模式之一；  
4、差速锁处于解锁状态；  
5、子系统无故障；  
6、ESC状态为 ON; 
7、蠕行 Creeping 状态为 active  3、车辆能保持匀速平稳行驶，不窜车无耸动；  
4、扭矩随障碍阻力变化连续平稳输出，车辆无明显停滞
和前后荡车现象；  
 
3.4.4.9.",6.24
